cluster,Animal,Environment,Human,group,color
C201,1,0,0,Znone,white
C202,1,0,0,Znone,white
C203,1,0,0,Znone,white
C204,1,0,0,Znone,white
C205,1,0,0,Znone,white
C206,1,0,0,Znone,white
C207,1,0,0,Znone,white
C208,1,0,0,Znone,white
C209,1,0,0,Znone,white
C210,2,0,0,Znone,white
C211,1,0,0,Znone,white
C212,3,0,0,Znone,white
C213,0,2,0,Znone,white
C214,0,0,2,Znone,white
C215,5,0,0,Znone,white
C216,0,1,0,Znone,white
C217,1,1,0,Lacrimispora,#EEDD82
C218,0,0,1,Znone,white
C219,0,2,0,Znone,white
C220,0,0,1,Znone,white
C221,0,0,20,Znone,white
C222,1,0,2,Enterocloster,#3CB371
C223,1,0,0,Znone,white
C224,0,1,0,Znone,white
C225,0,0,4,Znone,white
C226,0,0,1,Znone,white
C227,0,1,0,Znone,white
C228,1,0,0,Znone,white
C229,1,0,0,Znone,white
C230,2,0,0,Znone,white
C231,0,1,0,Znone,white
C232,0,0,3,Znone,white
C233,0,1,0,Znone,white
C234,0,0,1,Znone,white
C235,1,0,0,Znone,white
C236,0,1,0,Znone,white
C237,1,0,0,Znone,white
C238,0,1,0,Znone,white
C239,1,0,2,Extibacter,#98FB98
C240,1,0,0,Znone,white
C241,1,0,0,Znone,white
C242,3,0,0,Znone,white
C243,0,0,1,Znone,white
C244,1,0,0,Znone,white
C245,0,0,3,Znone,white
C246,0,1,0,Znone,white
C247,1,0,0,Znone,white
C248,0,0,3,Znone,white
C249,1,0,0,Znone,white
C250,1,0,0,Znone,white
C251,1,0,0,Znone,white
C252,1,0,0,Znone,white
C253,1,0,0,Znone,white
C254,1,0,0,Znone,white
C255,1,0,0,Znone,white
C256,0,0,6,Znone,white
C257,0,0,2,Znone,white
C258,0,0,3,Znone,white
C259,0,0,7,Znone,white
C260,0,0,2,Znone,white
C261,0,0,3,Znone,white
C262,0,0,3,Znone,white
C263,0,1,0,Znone,white
C264,0,0,1,Znone,white
C265,0,2,0,Znone,white
C266,0,1,0,Znone,white
C267,0,0,3,Znone,white
C268,0,0,1,Znone,white
C269,0,0,4,Znone,white
C270,0,0,2,Znone,white
C271,0,0,1,Znone,white
C272,0,0,6,Znone,white
C273,0,0,1,Znone,white
C274,0,0,9,Znone,white
C275,0,0,1,Znone,white
C276,0,0,2,Znone,white
C277,0,0,3,Znone,white
C278,0,0,1,Znone,white
C279,0,0,1,Znone,white
C280,0,0,4,Znone,white
C281,1,0,1,Lachnoclostridium,#EEE8AA
C282,0,1,0,Znone,white
C283,0,0,3,Znone,white
C284,0,1,0,Znone,white
C285,1,0,0,Znone,white
C286,0,1,0,Znone,white
C287,1,0,0,Znone,white
C288,1,0,0,Znone,white
C289,1,0,0,Znone,white
C290,3,0,0,Znone,white
C291,1,0,0,Znone,white
C292,0,0,1,Znone,white
C293,0,0,1,Znone,white
C294,0,0,2,Znone,white
C295,0,0,3,Znone,white
C296,0,1,0,Znone,white
C297,0,0,1,Znone,white
C298,0,1,0,Znone,white
C299,0,1,0,Znone,white
C300,2,0,0,Znone,white
C301,1,0,0,Znone,white
C302,2,0,0,Znone,white
C303,1,0,0,Znone,white
C304,1,0,0,Znone,white
C305,1,0,0,Znone,white
C306,1,0,0,Znone,white
C307,1,0,0,Znone,white
C308,1,0,0,Znone,white
C309,1,0,0,Znone,white
C310,1,0,0,Znone,white
C311,1,0,0,Znone,white
C312,1,0,0,Znone,white
C313,1,0,0,Znone,white
C314,1,0,0,Znone,white
C315,1,0,0,Znone,white
C316,1,0,0,Znone,white
C317,1,0,0,Znone,white
C318,1,0,0,Znone,white
C319,1,0,0,Znone,white
C320,1,0,0,Znone,white
C321,0,2,0,Znone,white
C322,1,0,0,Znone,white
C323,1,0,0,Znone,white
C324,1,0,1,Muricomes,#A0522D
C325,1,0,0,Znone,white
C326,1,0,0,Znone,white
C327,0,0,6,Znone,white
C328,0,0,1,Znone,white
