UHGP_Ko,Lachnospiraceae_Human_GI_Ko
K00574,K00996
K00575,K00997
K00577,K01000
K00578,K01002
K00579,K01003
K00580,K01006
K00581,K01007
K00582,K01008
K00583,K01011
K00584,K01012
K00587,K01014
K00588,K01023
K00589,K01026
K00590,K01028
K00591,K01029
K00594,K01032
K00595,K01034
K00596,K01035
K00598,K01039
K00600,K01040
K00602,K01042
K00603,K01046
K00604,K01048
K00605,K01051
K00606,K01053
K00608,K01055
K00609,K01056
K00610,K01057
K00611,K01060
K00612,K01066
K00613,K01071
K00615,K01073
K00616,K01075
K00619,K01077
K00620,K01079
K00621,K01081
K00622,K01082
K00624,K01083
K00625,K01090
K00626,K01091
K00627,K01092
K00630,K01096
K00631,K01101
K00632,K01104
K00633,K01113
K00634,K01114
K00635,K01117
K00638,K01118
K00639,K01119
K00640,K01126
K00641,K01129
K00643,K01130
K00645,K01133
K00646,K01137
K00647,K01138
K00648,K01139
K00649,K01142
K00650,K01144
K00651,K01151
K00652,K01153
K00654,K01154
K00655,K01155
K00656,K01156
K00657,K01159
K00658,K01160
K00661,K01163
K00662,K01173
K00663,K01174
K00666,K01176
K00670,K01178
K00671,K01179
K00672,K01181
K00673,K01182
K00674,K01183
K00675,K01184
K00677,K01185
K00680,K01186
K00681,K01187
K00683,K01190
K00684,K01191
K00686,K01192
K00687,K01193
K00688,K01195
K00689,K01197
K00690,K01198
K00691,K01200
K00692,K01201
K00693,K01205
K00694,K01206
K00696,K01207
K00697,K01208
K00699,K01209
K00700,K01212
K00701,K01213
K00702,K01214
K00703,K01215
K00705,K01216
K00709,K01218
K00712,K01219
K00713,K01220
K00717,K01222
K00720,K01223
K00721,K01224
K00722,K01226
K00725,K01227
K00728,K01232
K00737,K01233
K00743,K01235
K00745,K01236
K00748,K01239
K00749,K01243
K00750,K01246
K00752,K01247
K00754,K01250
K00756,K01251
K00757,K01252
K00758,K01253
K00759,K01255
K00760,K01256
K00761,K01258
K00762,K01259
K00763,K01262
K00764,K01265
K00765,K01266
K00766,K01267
K00767,K01270
K00768,K01271
K00769,K01273
K00771,K01281
K00772,K01283
K00773,K01286
K00782,K01295
K00783,K01297
K00784,K01299
K00785,K01303
K00786,K01304
K00788,K01305
K00789,K01308
K00790,K01317
K00791,K01318
K00793,K01322
K00794,K01337
K00795,K01338
K00796,K01342
K00797,K01347
K00798,K01356
K00799,K01358
K00800,K01361
K00801,K01372
K00803,K01385
K00805,K01387
K00806,K01390
K00808,K01400
K00809,K01401
K00812,K01406
K00813,K01409
K00814,K01420
K00815,K01421
K00817,K01424
K00819,K01425
K00820,K01426
K00821,K01428
K00822,K01429
K00823,K01430
K00824,K01431
K00825,K01436
K00826,K01438
K00830,K01439
K00831,K01442
K00832,K01443
K00833,K01444
K00835,K01447
K00836,K01448
K00839,K01449
K00840,K01450
K00841,K01452
K00842,K01455
K00844,K01457
K00845,K01460
K00846,K01462
K00847,K01463
K00848,K01464
K00849,K01465
K00850,K01466
K00851,K01468
K00852,K01470
K00853,K01473
K00854,K01474
K00855,K01476
K00856,K01478
K00857,K01479
K00858,K01480
K00859,K01482
K00860,K01483
K00861,K01485
K00862,K01486
K00863,K01487
K00864,K01488
K00865,K01489
K00867,K01491
K00868,K01493
K00869,K01494
K00870,K01495
K00872,K01496
K00873,K01499
K00874,K01501
K00875,K01502
K00876,K01505
K00877,K01507
K00878,K01512
K00879,K01515
K00880,K01518
K00881,K01520
K00882,K01523
K00883,K01524
K00884,K01525
K00885,K01531
K00886,K01533
K00887,K01534
K00891,K01537
K00892,K01539
K00893,K01546
K00895,K01547
K00897,K01548
K00899,K01551
K00901,K01556
K00903,K01560
K00906,K01561
K00912,K01563
K00914,K01567
K00917,K01571
K00918,K01572
K00919,K01574
K00925,K01576
K00926,K01579
K00927,K01580
K00928,K01581
K00929,K01582
K00930,K01583
K00931,K01585
K00932,K01586
K00933,K01588
K00934,K01589
K00936,K01591
K00937,K01593
K00938,K01597
K00939,K01598
K00940,K01599
K00941,K01601
K00942,K01607
K00943,K01608
K00945,K01609
K00946,K01610
K00947,K01611
K00948,K01612
K00949,K01613
K00950,K01615
